datetime,symbol,open,high,low,close,volume,adx,sma10,sma20,sma50,sma100,sma200,ema10,ema20,ema50,ema100,ema200,upper_band1,lower_band1,upper_band2,lower_band2
2017-08-17 08:00:00,Binance:ETHUSDT,301.13,312.18,298.0,302.0,7030.71034,,,,,,,,,,,,,,,
2017-08-18 08:00:00,Binance:ETHUSDT,302.0,311.79,283.94,293.96,9537.84646,,,,,,,,,,,,,,,
2017-08-19 08:00:00,Binance:ETHUSDT,293.96,299.9,278.0,290.91,2146.19773,,,,,,,,,,,,,,,
2017-08-20 08:00:00,Binance:ETHUSDT,290.91,300.53,282.85,299.1,2510.13871,,,,,,,,,,,,,,,
2017-08-21 08:00:00,Binance:ETHUSDT,299.1,346.52,294.6,323.29,5219.44542,,,,,,,,,,,,,,,
2017-08-22 08:00:00,Binance:ETHUSDT,323.29,330.41,144.21,309.8,7956.35088,,,,,,,,,,,,,,,
2017-08-23 08:00:00,Binance:ETHUSDT,312.25,324.99,309.41,315.74,8665.72569,,,,,,,,,,,,,,,
2017-08-24 08:00:00,Binance:ETHUSDT,315.74,328.04,314.01,323.42,6753.27192,,,,,,,,,,,,,,,
2017-08-25 08:00:00,Binance:ETHUSDT,323.42,338.28,323.42,327.24,7125.96962,,,,,,,,,,,,,,,
2017-08-26 08:00:00,Binance:ETHUSDT,327.24,335.44,323.41,330.79,4877.68521,,311.62,,,,,311.62,,,,,,,,
2017-08-27 08:00:00,Binance:ETHUSDT,332.18,348.13,330.73,348.13,4635.43715,,316.24,,,,,318.26,,,,,,,,
2017-08-28 08:00:00,Binance:ETHUSDT,348.11,351.0,331.95,346.0,4279.1817,,321.44,,,,,323.31,,,,,,,,
2017-08-29 08:00:00,Binance:ETHUSDT,346.0,377.6,346.0,374.7,3032.13425,,329.82,,,,,332.65,,,,,,,,
2017-08-30 08:00:00,Binance:ETHUSDT,374.7,393.71,362.05,385.93,4446.59608,,338.5,,,,,342.34,,,,,,,,
2017-08-31 08:00:00,Binance:ETHUSDT,384.64,389.36,377.78,384.79,4433.61656,,344.65,,,,,350.06,,,,,,,,
2017-09-01 08:00:00,Binance:ETHUSDT,384.79,394.39,383.18,388.46,4198.68434,,352.52,,,,,357.04,,,,,,,,
2017-09-02 08:00:00,Binance:ETHUSDT,388.46,394.32,320.08,343.14,8240.32724,,355.26,,,,,354.51,,,,,,,,
2017-09-03 08:00:00,Binance:ETHUSDT,343.14,367.28,320.08,341.77,5253.62211,,357.1,,,,,352.19,,,,,,,,
2017-09-04 08:00:00,Binance:ETHUSDT,341.77,344.55,267.94,283.77,6737.81061,,352.75,,,,,339.75,,,,,,,,
2017-09-05 08:00:00,Binance:ETHUSDT,286.81,321.52,235.55,312.09,8344.41924,,350.88,331.25,,,,334.72,331.25,,,,362.9863274416297,299.5166725583703,394.7211548832594,267.78184511674067
2017-09-06 08:00:00,Binance:ETHUSDT,313.29,336.34,312.09,335.0,5486.30988,,349.56,332.9,,,,334.77,331.61,,,,363.9224094442764,301.8805905557237,394.9433188885528,270.8596811114473
2017-09-07 08:00:00,Binance:ETHUSDT,335.0,342.5,320.17,334.49,3103.89745,,348.41,334.93,,,,334.72,331.88,,,,364.63480504530924,305.22119495469076,394.3416100906184,275.5143899093816
2017-09-08 08:00:00,Binance:ETHUSDT,334.49,335.1,272.0,302.99,4915.75693,,341.24,335.53,,,,328.95,329.13,,,,364.45002251192136,306.6139774880787,393.3680450238426,277.69595497615745
2017-09-09 08:00:00,Binance:ETHUSDT,302.99,307.0,281.66,296.74,2740.58822,,332.32,335.41,,,,323.1,326.05,,,,364.4848536854354,306.3431463145646,393.5557073708708,277.2722926291292
