datetime,symbol,open,high,low,close,volume,adx,sma10,sma20,sma50,sma100,sma200,ema10,ema20,ema50,ema100,ema200,upper_band1,lower_band1,upper_band2,lower_band2
2020-08-11 08:00:00,Binance:SOLUSDT,2.85,3.5208,2.8433,3.2985,1552384.78,,,,,,,,,,,,,,,
2020-08-12 08:00:00,Binance:SOLUSDT,3.2985,3.9289,3.08,3.7558,1737042.95,,,,,,,,,,,,,,,
2020-08-13 08:00:00,Binance:SOLUSDT,3.75,4.1387,3.5003,3.73,1685759.24,,,,,,,,,,,,,,,
2020-08-14 08:00:00,Binance:SOLUSDT,3.7207,3.7676,3.321,3.4099,1474161.79,,,,,,,,,,,,,,,
2020-08-15 08:00:00,Binance:SOLUSDT,3.4181,3.74,3.15,3.173,1070233.2,,,,,,,,,,,,,,,
2020-08-16 08:00:00,Binance:SOLUSDT,3.173,3.4907,3.12,3.3885,668106.53,,,,,,,,,,,,,,,
2020-08-17 08:00:00,Binance:SOLUSDT,3.3885,3.3952,3.1,3.11,729413.64,,,,,,,,,,,,,,,
2020-08-18 08:00:00,Binance:SOLUSDT,3.11,3.7092,2.8105,3.3407,2713115.94,,,,,,,,,,,,,,,
2020-08-19 08:00:00,Binance:SOLUSDT,3.334,3.49,2.8,2.8868,1433243.76,,,,,,,,,,,,,,,
2020-08-20 08:00:00,Binance:SOLUSDT,2.8962,3.445,2.8871,3.2038,1277827.32,,3.33,,,,,3.33,,,,,,,,
2020-08-21 08:00:00,Binance:SOLUSDT,3.2038,3.24,2.89,2.9317,1131895.9,,3.29,,,,,3.26,,,,,,,,
2020-08-22 08:00:00,Binance:SOLUSDT,2.9213,3.2,2.7431,3.0126,1169417.78,,3.22,,,,,3.21,,,,,,,,
2020-08-23 08:00:00,Binance:SOLUSDT,3.0224,3.4,3.0014,3.25,1198036.69,,3.17,,,,,3.22,,,,,,,,
2020-08-24 08:00:00,Binance:SOLUSDT,3.2658,3.62,3.21,3.3405,1315196.06,,3.16,,,,,3.24,,,,,,,,
2020-08-25 08:00:00,Binance:SOLUSDT,3.3406,3.3654,3.0001,3.25,1149187.37,,3.17,,,,,3.24,,,,,,,,
2020-08-26 08:00:00,Binance:SOLUSDT,3.2576,3.7999,3.1809,3.5684,2290030.56,,3.19,,,,,3.3,,,,,,,,
