index,datetime,open,high,low,close,volume
99,2025-05-15 00:00:00,176.64,178.28,174.14,174.21,203932.580442
98,2025-05-15 04:00:00,174.15,175.27,172.85,173.06,244282.660974
97,2025-05-15 08:00:00,173.04,173.11,168.75,171.06,223253.958285
96,2025-05-15 12:00:00,171.08,172.78,167.05,172.29,437108.987291
95,2025-05-15 16:00:00,172.21,175.0,167.85,169.68,360162.860169
94,2025-05-15 20:00:00,169.81,170.63,166.93,169.15,240076.015534
93,2025-05-16 00:00:00,169.14,173.57,168.76,172.61,333845.209778
92,2025-05-16 04:00:00,172.6,173.86,170.42,172.15,249092.103309
91,2025-05-16 08:00:00,172.15,174.1,169.5,172.82,234364.320844
90,2025-05-16 12:00:00,172.82,174.06,170.9,172.1,277333.321944
89,2025-05-16 16:00:00,172.11,172.7,169.85,171.5,237886.951497
88,2025-05-16 20:00:00,171.51,171.51,166.47,167.43,203633.04696
87,2025-05-17 00:00:00,167.45,168.46,164.06,168.28,301206.095166
86,2025-05-17 04:00:00,168.26,169.97,167.42,168.55,214090.287725
85,2025-05-17 08:00:00,168.56,169.37,166.77,167.59,216301.591207
84,2025-05-17 12:00:00,167.53,168.15,165.86,167.33,195172.074632
83,2025-05-17 16:00:00,167.32,167.54,164.49,165.19,247298.737727
82,2025-05-17 20:00:00,165.21,167.9,164.4,165.95,199539.444034
81,2025-05-18 00:00:00,165.94,167.88,165.86,166.87,214134.349749
80,2025-05-18 04:00:00,166.91,170.69,166.9,170.51,131525.873549
79,2025-05-18 08:00:00,170.7,171.92,170.68,170.77,153767.435547
78,2025-05-18 12:00:00,170.77,176.65,169.4,176.23,109425.8181
77,2025-05-18 16:00:00,176.23,176.72,166.69,166.72,85937.405629
76,2025-05-18 20:00:00,166.68,174.25,164.75,173.37,23151.690746
75,2025-05-19 00:00:00,173.37,173.68,165.05,165.44,49058.385805
74,2025-05-19 04:00:00,165.42,166.75,159.51,161.93,102274.299292
73,2025-05-19 08:00:00,161.91,162.67,160.51,162.2,249513.463819
72,2025-05-19 12:00:00,162.19,164.71,160.2,164.2,254457.644511
71,2025-05-19 16:00:00,164.17,167.32,162.82,166.57,198408.442766
70,2025-05-19 20:00:00,166.57,167.74,165.19,166.84,194786.980967
69,2025-05-20 00:00:00,166.85,172.97,166.76,169.16,366311.248533
68,2025-05-20 04:00:00,169.19,171.64,167.11,167.38,209709.717035
67,2025-05-20 08:00:00,167.36,168.11,165.25,166.52,237761.055958
66,2025-05-20 12:00:00,166.37,167.31,164.61,166.67,250561.044799
65,2025-05-20 16:00:00,166.63,169.01,164.64,168.34,278422.590515
64,2025-05-20 20:00:00,168.2,169.37,166.38,168.57,135726.647995
63,2025-05-21 00:00:00,168.59,170.88,166.87,169.97,183824.224417
62,2025-05-21 04:00:00,169.97,171.73,168.34,168.87,271171.277568
61,2025-05-21 08:00:00,168.83,169.61,167.4,169.4,211287.902489
60,2025-05-21 12:00:00,169.33,173.61,168.37,172.18,244109.588189
59,2025-05-21 16:00:00,172.23,174.92,165.67,171.14,421887.149566
58,2025-05-21 20:00:00,171.15,175.9,169.17,173.51,214617.748953
57,2025-05-22 00:00:00,173.68,177.44,172.66,176.79,274408.410863
56,2025-05-22 04:00:00,176.8,178.69,175.29,178.47,232920.85265
55,2025-05-22 08:00:00,178.5,180.75,177.22,178.08,343340.087527
54,2025-05-22 12:00:00,178.09,179.85,177.1,178.96,307191.686925
53,2025-05-22 16:00:00,179.01,180.32,177.58,177.78,148228.158022
52,2025-05-22 20:00:00,177.88,179.97,177.31,179.68,103181.408525
51,2025-05-23 00:00:00,179.73,185.52,179.35,185.01,249582.862666
50,2025-05-23 04:00:00,185.02,185.3,180.13,182.53,145255.731514
49,2025-05-23 08:00:00,182.54,187.64,177.23,177.78,221397.382384
48,2025-05-23 12:00:00,177.78,183.7,173.68,180.69,692559.659822
47,2025-05-23 16:00:00,180.68,182.22,178.46,179.1,197832.401702
46,2025-05-23 20:00:00,179.14,179.24,173.36,173.94,206841.925732
45,2025-05-24 00:00:00,174.02,176.0,172.66,175.08,147615.992285
44,2025-05-24 04:00:00,175.08,176.36,173.51,173.93,202892.324625
43,2025-05-24 08:00:00,173.97,178.3,173.29,176.82,207672.47168
42,2025-05-24 12:00:00,176.87,177.11,175.17,176.34,140439.262523
41,2025-05-24 16:00:00,176.34,177.69,175.37,177.14,128140.207211
40,2025-05-24 20:00:00,177.15,177.91,175.41,175.9,93941.580603
39,2025-05-25 00:00:00,175.89,176.89,170.52,173.58,72033.228046
38,2025-05-25 04:00:00,173.65,174.38,171.95,172.31,9237.035383
37,2025-05-25 08:00:00,172.34,172.47,170.25,171.96,9302.105812
36,2025-05-25 12:00:00,171.94,172.63,169.17,170.25,13789.848934
35,2025-05-25 16:00:00,170.27,172.73,169.22,172.44,31051.583188
34,2025-05-25 20:00:00,172.52,175.82,170.97,175.72,90004.671588
33,2025-05-26 00:00:00,175.7,177.76,175.17,176.98,72317.684747
32,2025-05-26 04:00:00,177.01,178.98,176.61,178.15,186361.845292
31,2025-05-26 08:00:00,178.15,178.33,176.41,177.86,186127.869836
30,2025-05-26 12:00:00,177.87,178.73,175.98,177.44,171193.543708
29,2025-05-26 16:00:00,177.43,178.05,173.51,174.14,140980.109167
28,2025-05-26 20:00:00,174.05,175.99,173.67,174.9,139596.365029
27,2025-05-27 00:00:00,174.93,175.78,171.41,173.52,181993.684041
26,2025-05-27 04:00:00,173.51,175.85,172.52,175.38,205732.424244
25,2025-05-27 08:00:00,175.52,177.12,175.04,176.79,189314.7299
24,2025-05-27 12:00:00,176.87,179.36,175.26,178.44,265887.12515
23,2025-05-27 16:00:00,178.45,179.27,177.48,177.48,179403.991233
22,2025-05-27 20:00:00,177.48,178.63,175.61,176.71,147754.571541
21,2025-05-28 00:00:00,176.72,177.38,174.3,175.17,154915.878782
20,2025-05-28 04:00:00,175.14,175.27,173.77,173.9,126238.637243
19,2025-05-28 08:00:00,173.9,174.52,172.92,174.52,108157.15382
18,2025-05-28 12:00:00,174.52,175.09,168.98,169.71,253675.591056
17,2025-05-28 16:00:00,169.69,172.01,169.24,169.24,168281.52921
16,2025-05-28 20:00:00,169.37,172.63,169.24,172.23,130595.838618
15,2025-05-29 00:00:00,172.23,175.32,171.42,173.68,211996.539913
14,2025-05-29 04:00:00,173.71,173.95,170.24,172.21,171895.40841
13,2025-05-29 08:00:00,172.23,173.44,171.69,172.91,175143.908684
12,2025-05-29 12:00:00,172.89,172.89,169.15,169.76,201827.690044
11,2025-05-29 16:00:00,169.76,170.23,166.11,166.79,189172.741476
10,2025-05-29 20:00:00,166.81,168.51,166.09,166.72,126463.172895
9,2025-05-30 00:00:00,166.71,167.48,160.33,165.13,288274.339644
8,2025-05-30 04:00:00,165.12,165.86,162.62,162.66,206755.814301
7,2025-05-30 08:00:00,162.64,164.15,161.53,163.83,285784.527406
6,2025-05-30 12:00:00,163.84,163.92,160.22,161.16,578459.982756
5,2025-05-30 16:00:00,161.22,161.77,156.38,160.79,272171.809755
4,2025-05-30 20:00:00,160.78,160.98,155.36,156.18,266153.00993
3,2025-05-31 00:00:00,156.18,157.18,152.16,154.14,430253.618123
2,2025-05-31 04:00:00,154.14,155.84,153.07,154.86,173438.49434
1,2025-05-31 08:00:00,154.85,155.26,152.64,152.93,193619.018045
0,2025-05-31 12:00:00,152.93,155.96,152.7,155.75,143104.251793
