datetime,symbol,open,high,low,close,volume,adx,sma10,ema10,sma20,ema20,sma50,ema50,sma100,ema100,sma200,ema200,upper_band1,lower_band1,upper_band2,lower_band2
2022-08-31 16:00:00,Binance:SOLUSDT,32.3,32.81,31.93,32.58,428983.95,,,,,,,,,,,,,,,
2022-08-31 20:00:00,Binance:SOLUSDT,32.58,32.95,31.57,31.93,615228.19,,,,,,,,,,,,,,,
2022-09-01 00:00:00,Binance:SOLUSDT,31.92,32.36,31.44,32.11,424232.65,,,,,,,,,,,,,,,
2022-09-01 04:00:00,Binance:SOLUSDT,32.11,32.49,31.18,31.5,363035.39,,,,,,,,,,,,,,,
2022-09-01 08:00:00,Binance:SOLUSDT,31.49,31.77,30.98,31.24,437810.43,,,,,,,,,,,,,,,
2022-09-01 12:00:00,Binance:SOLUSDT,31.23,31.55,30.83,31.08,231577.71,,,,,,,,,,,,,,,
2022-09-01 16:00:00,Binance:SOLUSDT,31.08,31.58,30.86,31.45,408090.56,,,,,,,,,,,,,,,
2022-09-01 20:00:00,Binance:SOLUSDT,31.46,31.5,30.44,30.76,576103.73,,,,,,,,,,,,,,,
2022-09-02 00:00:00,Binance:SOLUSDT,30.76,31.09,30.48,31.07,346308.88,,,,,,,,,,,,,,,
2022-09-02 04:00:00,Binance:SOLUSDT,31.07,31.79,31.0,31.61,304276.25,,31.53,31.53,,,,,,,,,,,,
2022-09-02 08:00:00,Binance:SOLUSDT,31.61,31.81,31.11,31.57,268884.12,,31.43,31.54,,,,,,,,,,,,
2022-09-02 12:00:00,Binance:SOLUSDT,31.57,31.96,31.43,31.63,230890.89,,31.4,31.56,,,,,,,,,,,,
2022-09-02 16:00:00,Binance:SOLUSDT,31.62,31.7,31.25,31.58,240608.28,,31.35,31.56,,,,,,,,,,,,
2022-09-02 20:00:00,Binance:SOLUSDT,31.57,32.38,31.46,32.28,840180.22,,31.43,31.69,,,,,,,,,,,,
2022-09-03 00:00:00,Binance:SOLUSDT,32.28,32.34,30.76,31.06,565151.95,,31.41,31.58,,,,,,,,,,,,
2022-09-03 04:00:00,Binance:SOLUSDT,31.06,31.28,30.89,31.23,181478.75,,31.42,31.51,,,,,,,,,,,,
2022-09-03 08:00:00,Binance:SOLUSDT,31.23,31.27,30.87,30.95,145472.77,,31.37,31.41,,,,,,,,,,,,
2022-09-03 12:00:00,Binance:SOLUSDT,30.95,31.29,30.8,31.04,166799.24,,31.4,31.34,,,,,,,,,,,,
2022-09-03 16:00:00,Binance:SOLUSDT,31.04,31.22,30.89,31.04,115209.66,,31.4,31.29,,,,,,,,,,,,
2022-09-03 20:00:00,Binance:SOLUSDT,31.05,31.27,31.01,31.12,109934.32,,31.35,31.26,31.44,31.44,,,,,,,31.911566750578995,30.971433249421,32.38163350115799,30.501366498842
2022-09-04 00:00:00,Binance:SOLUSDT,31.12,31.21,30.8,30.99,145446.22,,31.29,31.21,31.36,31.4,,,,,,,31.762032498679808,30.96196750132018,32.16206499735962,30.561935002640364
2022-09-04 04:00:00,Binance:SOLUSDT,30.98,31.22,30.91,31.12,90551.99,,31.24,31.19,31.32,31.37,,,,,,,31.702528542237832,30.94047145776216,32.083557084475665,30.559442915524325
2022-09-04 08:00:00,Binance:SOLUSDT,31.11,31.73,31.07,31.43,180087.11,,31.23,31.24,31.29,31.38,,,,,,,31.624440276606993,30.950559723392995,31.961380553213992,30.613619446785997
2022-09-04 12:00:00,Binance:SOLUSDT,31.43,31.54,31.08,31.1,132355.86,,31.11,31.21,31.27,31.35,,,,,,,31.603102070911195,30.931897929088795,31.93870414182239,30.596295858177598
2022-09-04 16:00:00,Binance:SOLUSDT,31.1,31.87,31.02,31.86,228413.35,,31.19,31.33,31.3,31.4,,,,,,,31.65792001891895,30.939079981081044,32.017340037837904,30.579659962162093
2022-09-04 20:00:00,Binance:SOLUSDT,31.87,32.0,31.45,31.82,262914.07,,31.25,31.42,31.34,31.44,,,,,,,31.708360228503587,30.962639771496406,32.08122045700718,30.58977954299282
2022-09-05 00:00:00,Binance:SOLUSDT,31.81,31.95,31.63,31.74,245254.17,,31.33,31.48,31.35,31.47,,,,,,,31.73254411510264,30.967455884897348,32.11508823020529,30.584911769794697
2022-09-05 04:00:00,Binance:SOLUSDT,31.75,32.2,31.74,32.16,253936.19,17.953172,31.44,31.6,31.42,31.53,,,,,,,31.816030301870505,31.023969698129484,32.212060603741016,30.627939396258974
2022-09-05 08:00:00,Binance:SOLUSDT,32.17,32.5,32.06,32.1,212906.62,18.762609,31.54,31.69,31.47,31.59,,,,,,,31.885242371530687,31.057757628469297,32.29898474306138,30.6440152569386
2022-09-05 12:00:00,Binance:SOLUSDT,32.11,32.19,31.47,31.68,233035.97,17.766901,31.6,31.69,31.47,31.6,,,,,,,31.89019272633342,31.059807273666554,32.305385452666854,30.644614547333116
2022-09-05 16:00:00,Binance:SOLUSDT,31.68,31.75,31.15,31.28,250722.25,16.898498,31.63,31.62,31.46,31.57,,,,,,,31.877183033012216,31.043816966987755,32.29386606602445,30.627133933975525
2022-09-05 20:00:00,Binance:SOLUSDT,31.28,31.93,31.18,31.85,304231.49,15.719713,31.7,31.66,31.47,31.59,,,,,,,31.895354633099927,31.047645366900042,32.31920926619987,30.6237907338001
2022-09-06 00:00:00,Binance:SOLUSDT,31.86,32.02,31.7,31.72,208616.7,14.836478,31.73,31.67,31.48,31.61,,,,,,,31.905234988019764,31.05176501198021,32.331969976039545,30.62503002396043
2022-09-06 04:00:00,Binance:SOLUSDT,31.72,32.44,31.72,32.18,335782.69,14.91307,31.84,31.76,31.47,31.66,,,,,,,31.891307072702553,31.055692927297414,32.309114145405125,30.637885854594842
2022-09-06 08:00:00,Binance:SOLUSDT,32.17,33.56,32.16,32.73,828215.19,16.616124,31.93,31.94,31.56,31.76,,,,,,,32.04483296321599,31.069167036783988,32.53266592643199,30.581334073567987
2022-09-06 12:00:00,Binance:SOLUSDT,32.73,33.24,32.51,32.97,437460.61,18.197532,32.04,32.13,31.64,31.88,,,,,,,32.21399473681777,31.074005263182205,32.78398947363555,30.504010526364425
2022-09-06 16:00:00,Binance:SOLUSDT,32.97,33.32,32.75,33.24,322972.73,19.762274,32.19,32.33,31.76,32.01,,,,,,,32.40275363794078,31.114246362059195,33.047007275881576,30.4699927241184
2022-09-06 20:00:00,Binance:SOLUSDT,33.24,33.9,32.41,33.79,796962.1,21.842688,32.35,32.59,31.9,32.18,,,,,,,32.65540371344896,31.136596286551015,33.41480742689793,30.377192573102043
2022-09-07 00:00:00,Binance:SOLUSDT,33.79,33.84,30.73,31.01,1604935.39,20.436411,32.25,32.31,31.89,32.07,,,,,,,32.65562071972862,31.133379280271352,33.416741439457255,30.37225856054272
2022-09-07 04:00:00,Binance:SOLUSDT,31.02,31.33,30.44,30.88,672515.66,19.225044,32.17,32.05,31.88,31.95,,,,,,,32.65750241935123,31.10749758064874,33.43250483870248,30.332495161297498
2022-09-07 08:00:00,Binance:SOLUSDT,30.88,31.21,30.31,30.88,442787.16,18.278948,32.13,31.83,31.88,31.85,,,,,,,32.658678322585615,31.09532167741436,33.44035664517124,30.313643354828734
